name	memory_gb	memory_bandwidth_gbps	connectivity	int8_tops	fp8_tflops	fp16_tflops	bf16_tflops	tf32_tflops	fp32_tflops	fp64_tflops	architecture	grace_memory_gb
A10	24	600	PCIe	250		125	125	62.5	31.2	1.2		
A30	24	933	PCIe	661		330	330	165	82.5	5.2		
L40	48	864	PCIe	362		181	181	90.5	90.5	2.8		
L40s	48	864	PCIe	724		362	362	181	181	5.6		
A100 40 GB	40	1555	PCIe	624		312	312	156	19.5	9.7		
A100 40 GB SXM	40	1555	SXM	624		312	312	156	19.5	9.7		
A100 80 GB PCIe	80	1935	PCIe	624		312	312	156	19.5	9.7		
A100 80 GB SXM	80	2039	SXM	624		312	312	156	19.5	9.7		
H100 PCIe	80	2000	PCIe	1513	3026	756.5	756.5	378.2	51	26		
H100 SXM	80	3350	SXM	1979	3958	989.5	989.5	494.7	67	33.5		
H100 NVL	94	3900	NVL	1671	3342	835.5	835.5	417.7	56.5	28.2		
H200 SXM	141	4800	SXM	1979	3958	989.5	989.5	494.7	67	33.5		
H200 NVL	141	4800	NVL	1671	3342	835.5	835.5	417.7	56.5	28.2		
B100 PCIe	96	3078	PCIe	2220	4440	1110	1110	555	74	37		
B100 SXM	96	3078	SXM	2664	5328	1332	1332	666	89	44.5		
B200 PCIe	192	5376	PCIe	2940	5880	1470	1470	735	98	49		
B200 SXM	192	5376	SXM	3540	7080	1770	1770	885	118	59		
GH100 (Grace Hopper)	80	3350	SXM	1979	3958	989.5	989.5	494.7	67	33.5	Grace Hopper	480
GH200 (Grace Hopper)	141	4800	NVL	1979	3958	989.5	989.5	494.7	67	33.5	Grace Hopper	480
GB100 (Grace Blackwell)	96	3078	SXM	2664	5328	1332	1332	666	89	44.5	Grace Blackwell	480
GB200 (Grace Blackwell)	192	5376	NVL	3540	7080	1770	1770	885	118	59	Grace Blackwell	576